Company Name,Website,Email(s)
SNAPFIX LTD.,https://snapfix.com/careers,"careers@snapfix.com., sales@snapfix.com."
SOCOMMERZ TECHNOLOGIES,https://www.linkedin.com/posts/sourabh-lodha-socommerz_recruitment-hiring-python-activity-7292794825769201664-cuOb,info@socommerz.com
SOFTSTORM INFOSYS,Not found,No email found
SOFTTECHIES,https://softtechies.com/contact-us-02/,"ADDRESSchavdamahesh@softtechies.com, chavdamahesh@softtechies.com"
SOFTWEIRDO SOLUTION ,https://in.linkedin.com/company/softweirdo-solution,hr@softweirdo.com
SOLUTION ONE ERP,https://www.fortunesys.com/contact-us.php,"sales@fortunesys.com, ronak@fortunesys.com"
SOLVATIVE,https://solvative.breezy.hr/,careers@solvative.com.Flexible
"SPACE APPLICATIONS CENTRE, ISRO",Not found,No email found
SPARKS TO IDEAS,Not found,No email found
SPECTRICS SOLUTIONS ,https://spectricssolutions.com/career/,info@spectricssolutions.com
SPREADD.IO,Not found,No email found
SQUAD TECHNOLOGIES,https://www.squadtechnologies.com/contact-us/,info@squadtechnologies.com
SQUAD TECHNOLOGIES ,https://www.squadtechnologies.com/contact-us/,info@squadtechnologies.com
SSM INFOTECH SOLUTIONS PVT. LTD.,https://www.ssminfotech.biz/contactus,"software.support@ssm-infotech.comwwsupport, mkt@ssm-infotech.comCustomer, mkt@ssm-infotech.com, hr@ssm-infotech.com"
START-TECH ACADEMY,Not found,No email found
STERP SOFTWARE PVT LTD,https://www.shantitechnology.com/career,"Sales.mumbai@sterpsoftware.com, sales.pune@sterpsoftware.com, sales.indore@sterpsoftware.com, sales.amd@sterpsoftware.com, sales@shantitechnology.com, sales@sterpsoftware.com"
STPL,https://www.stpl.com/career-form-laser.asp,contact@stpl.com
SUREKHA,Not found,No email found
SUTISH TECH SOLUTIONS,https://www.sutishtechsolutions.com/career/,info@sutishtechsolutions.com
SUVEN CONSULTANT & TECHNOLOGY PVT. LTD.,Not found,No email found
SYNOPTEK,https://synoptek.com/contact-us/,"salesinquiries@synoptek.com, customersupport@synoptek.com"
TALENT SYSTEMS,https://www.talentsystems.com/careers/,marketing@talentsystems.com
TATVASOFT,Not found,No email found
TCS,https://g91.tcsion.com/iDH/careers/Cart,"careers@tcs.com, head.talentacquistion@tcs.com, xplore.support@tcs.com, CBOCampus.support1@tcs.com"
TECBLIC,https://in.linkedin.com/company/tecblic,hr@tecblic.com
TECH HOLDING,https://techholding.co/contact,info@techholding.co
TECHIEBUTLER,Not found,No email found
TECHMATES SOLUTIONS,https://techmates-solutions.com/,hr@techmates-solutions.com
TECHNOTECH INDIA,https://www.technotechindia.com/careers/,"hr@technotechindia.com, technotechindia@yahoo.com, info@technotechindia.com"
TECHOMAX SOLUTION,https://in.linkedin.com/company/techomax-solution,hr@techomaxsolution.com
TECHROVER SOLUTIONS,https://www.techrover.us/career/,"hello@techrover.us, hr@techroversolutions.com"
TECHROVER SOLUTIONS PVT LTD ,https://www.techrover.us/career/,"hello@techrover.us, hr@techroversolutions.com"
TECHSMITH SOLUTIONS PVT. LTD,https://in.linkedin.com/company/techsmith-software-solutions-pvt-ltd,techsmith44@gmail.com
TECPLIX TECHNOLOGIES,https://tecplix.com/contact-us/,"info@tecplix.com, hire@tecplix.com"
TECTONA SOFTSOLUTIONS PVT. LTD,Not found,No email found
TENACIOUS TECHIES,https://www.tenacioustechies.com/careers/,"contact@tenacioustechies.com, hr@tenacioustechies.com."
THE WILDTIGERS TECHNOLOGIES,https://www.thewildtigers.com/career.html,"account@thewildtigers.com, hr@thewildtigers.com, info@thewildtigers.com"
THOMSON REUTERS,https://www.thomsonreuters.in/en/about-us/contact-us.html,"nyc.equities.newsroom@news.reuters.com, Catriona.mackness@thomsonreuters.com, Vishal.parekh@thomsonreuters.com, heather.carpenter@thomsonreuters.com, jamie.austin@thomsonreuters.com, Pradeep.lankapalli@thomsonreuters.com, editorial.booking@thomsonreuters.com, Shreeram.varahan@thomsonreuters.com"
TLK INDUSTRIES PRIVATE LIMITED ,Not found,No email found
TOSHAL INFOTECH,https://www.toshalinfotech.com/Contact-Us,"career@toshalinfotech.com, contactus@toshalinfotech.com, hr@toshalinfotech.com"
TRIDHYA TECH,https://www.tridhyatech.com/careers/,info@tridhyatech.com
TRIRID TECHNOLOGIES ,https://tririd.com/career,sale@tririd.com
TRIVENI GLOBAL SOFTWARE SERVICES LLP,https://triveniglobalsoft.com/contact-us/,"Ltd.Puneinfo@triveniglobalsoft.com, info@tridentglobal.ai, Vegasinfo@tridentglobal.ai, hr@triveniglobalsoft.comIndia, info@triveniglobalsoft.comIndia, LLPAhmedabadinfo@triveniglobalsoft.com, LLPSuratinfo@triveniglobalsoft.com, info@triveniglobalsoft.com"
TRIZ INNOVATION,https://www.salezshark.com/company/triz-innovation-pvt-ltd,"name@gmail.com, name@trizinnovation.com, name@trizinnovation.com."
TRIZ INNOVATION PVT LTD,https://cleartax.in/f/company/triz-innovation-private-limited/U64202GJ2004PTC044174/,"kalpesh@triz.co.in, kalpesh@triz.co.inRegistered"
TROOPR,https://www.troopr.ai/pricing,"Producthunthello@troopr.io, hello@troopr.io"
TRUCKBAZI,Not found,No email found
TRYON INFOTECH,https://in.linkedin.com/company/tryoninfosoft,"info@tryoninfosoft.com, tryoninfosoft@gmail.com"
TURQUOIC,Not found,No email found
UCI,https://career.uci.edu/about/contact-us/,"career@uci.edu., career@uci.edu"
UCI/ WEBELIGHT,Not found,No email found
UNITECH TECHNOCRATS PVT.LTD,http://career.utplindia.in/,"sales@utplindia.in, info@utplindia.in"
UNITEIT ,https://uniteit.org/contact/,uniteitorg@gmail.com
UNUSED BRAIN,Not found,No email found
URBANO INFOTECH PVT LTD,https://urbanoinfotech.com/,Number+91-8107115738Emailconnect@urbanoinfotech.com
URDHVA TECH PVT. LTD.,https://www.urdhva-tech.com/contact-us,contact@urdhva-tech.com
URL ASEPTIC AUTOMATION INC.,https://urlautomation.com/,info@urlautomation.com
VAISTRA TECHNOLOGIES PRIVATE LIMITED,https://www.linkedin.com/posts/vaistra-technologies-pvt-ltd_we-are-hiring-vaistra-technologies-private-activity-7222113718354997249-o5yt,"sushmitha.prabhakar@landmarkgroup.in, nupur@jigsawinc.in., hr@vaistratechnologies.com, kalpesh@vaistratechnologies.com, diksha@theproramp.com"
VASUNDHARA INFOTECH LLP,https://vasundhara.io/career,7359349940Companyinfo@vasundhara.ioHRhr
VAYANA NETWORKS,Not found,No email found
VED TECHNOSERVE INDIA PVT.LTD,https://www.sambhaav.com/wp-content/uploads/2020/11/Annual-Report-2019-20-VED-Technoserve-India-Private-Limited-1.pdf,"0@f.rs, s@6.E"
VEDICAN TECHNOLOGY,https://www.vedicantechnology.com/contact,Toocontact@vedicantechnology.com
VIEH GROUP,https://viehgroup.com/contact/,support@viehgroup.com
VIHAA INFOTECH,Not found,No email found
VIITORCLOUD,Not found,No email found
VIITORCLOUD ,Not found,No email found
VISANKA TECHNOLOGIES ,https://www.visankatechnologies.com/contact-us.php,"sales@visankatechnologies.com, Sales@visankatechnologies.com, info@visankatechnologies.com"
VISUREAL,Not found,No email found
VIVANSH INFOTECH,https://www.vivanshinfotech.com/contact-us.html,"hello@vivanshinfotech.com, careers@vivanshinfotech.com"
VOYSE DIGITAL,https://voysedigital.com/,0799102E-mailbusiness@voysedigital.com03Opening
VPN INFOTECH,Not found,No email found
VRINDI,https://www.vrindi.com/jobs/HR/apply,hr@vrindi.com
VRISINI TECHNOLOGIES,Not found,No email found
WAY2CIS,https://way2cis.com/career.html,macs@way2cis.com
WEB BRAINS TECHNOLOGIES PVT LTD,https://www.webbrainstechnologies.com/careers/,"Resumehr@webbrainstechnologies.com, info@www.webbrainstechnologies.com"
WEB STRATEGIC,Not found,No email found
WEBBRAINS TECHNOLOGIES,https://www.webbrainstechnologies.com/careers/,"Resumehr@webbrainstechnologies.com, info@www.webbrainstechnologies.com"
WEBBYGENIUS INFOTECH ,https://webbygenius.com/contact-us/,"Emailhr@webbygenius.com, hr@webbygenius.com"
WEBCARE INFOWAY,Not found,No email found
WEBCLUES INFOTECH LLP,Not found,No email found
WEBEARL TECHNOLOGIES PRIVATE LIMITED,Not found,No email found
WEBELIGHT SOLUTIONS,https://in.linkedin.com/company/webelight-solutions,career@webelight.co.in
WEBILIGHT,Not found,No email found
WEBITO INFOTECH,Not found,No email found
WEBMIGRATES TECHNOLOGIES,https://in.linkedin.com/company/webmigrates-technologies,hr.webmigrates@gmail.com
WEBMIGRATES TECHNOLOGIES ,https://in.linkedin.com/company/webmigrates-technologies,hr.webmigrates@gmail.com
WEBMOBI TECHNOLOGIES,Not found,No email found
WEBOSPHERE TECHNOLABS LLP ,https://webosphere.in/contact-us/,info@webosphere.in
WEETECH SOLUTION PVT LTD,https://www.weetechsolution.com/career,info@weetechsolution.com
WISEDV,https://in.linkedin.com/company/wisedv,jobs@wisedv.com.
XATCH SOFTWARE INC.,Not found,No email found
XTEND VALUE,https://www.easyleadz.com/company/xtend-value-private-limited-U72900MH2019PTC332291,"support@easyleadz.com, xxxx@xxx.com, rutuja.xtend@gmail.com"
YORK IE- ACW,https://york.ie/careers/,talent@york.ie.
ZECHROME TECHNOLOGIES LLP,https://zechrometechnologies.com/career/,"info@zechrome.com, support@zechrome.com, sales@zechrome.com"
ZENCHIP,Not found,No email found
ZEROBUCK TECHNOLOGIES,Not found,No email found
ZIBMA INFOTECH,Not found,No email found
ZIGNUTS,https://www.zignuts.com/career,"talent@zignuts.com, Inquiryhello@zignuts.com, Inquiryhr@zignuts.com"
ZIGNUTS TECHNOLABS,https://www.zignuts.com/career,"talent@zignuts.com, Inquiryhello@zignuts.com, Inquiryhr@zignuts.com"
Alphadev infotech private limited.,Not found,No email found
Reliance Industries Lmt.,https://www.ril.com/contact-us,info@ril.com
MBH Technologies Pvt. Ltd.,https://mbhtechnologies.com/Home/career,"careers@mbhtechnologies.com, info@mbhtechnologies.com"
UNIKWORK,https://unikwork.com/contact-us,"hr@unikwork.com, info@unikwork.com"
Tark Technologies,https://tarktech.com/career/,80609connect@tarktech.comlive
AAGITE TECHNOLOGIES ,http://www.aagitetech.com/career/,"info@aagitetech.com, jay@aagitetech.com, hr@aagitetech.com"
ProjectTree,https://projecttree.in/career/,hr@projecttree.in
POTENZA GLOBAL SOLUTIONS ,https://www.potenzaglobalsolutions.com/contact-us,"info@potenzaglobalsolutions.com, Jobs@potenzaglobalsolutions.com, hradmin@potenzaglobalsolutions.com, Info@potenzaglobalsolutions.com"
Skyline Infosys,https://in.linkedin.com/company/skylineinfosys,info@skylineinfosys.com
Nettyfy Technologies ,Not found,No email found
iRoid Solutions ,https://iroidsolutions.com/career,"hr@iroidsolutions.inDaxesh, business@iroidsolutions.inHR"
TECHUP SOFT SOLUTION,https://www.linkedin.com/posts/techupsoftsolutions_hiring-activity-7288897047825403904-kLbc,"ishita.kamani@reelo.io, info@anantadigicraft.com, saloni.ramnani@scoutforu.com"
Madhav Technologies,https://www.madhavtechnologies.co.in/mapview/22.2851099/73.1325809,"projects@madhavtechnologies.comOther, projects@madhavtechnologies.com"
IIT Mandi,https://www.iitmandi.ac.in/directory,"meena@ihubiitmandi.in, baldev85thakur@gmail.com, salik@iitmandicatalyst.in, santoshkumar150297@gmail.com, eempd3.cpwd@gmail.com, sunilkumar.qc@gmail.com, deepak@ihubiitmandi.in, D21071@students.iitmandi.ac.in, gaurav.parulkar@iitmandicatalyst.in, kushal_bhatia@projects.iitmandi.ac.in, akashk_rao@projects.iitmandi.ac.in, D23103@students.iitmandi.ac.in, sharmaramlal33@gmail.com, ceo@ihubiitmandi.in, ravinder@iitmandicatalyst.in, sahil@ihubiitmandi.in, suniliitmandi@gmail.com, basant@ihubiitmandi.in, kulbhushan@ihubiitmandi.in, nkgoel@hy.iitr.ac.in, ashwanithakur7722@gmail.com, D22088@students.iitmandi.ac.in, anuj@ihubiitmandi.in, ankush@ihubiitmandi.in, sonmati@ihubiitmandi.in, kushal@iitmandicatalyst.in, dileep@ihubiitmandi.in, gurpreet@iitmandicatalyst.in, moumitachakraborty59@gmail.com, khem_chand@projects.iitmandi.ac.in, Avnish@ihubiitmandi.in, kailashpal19912@gmail.com, gm@iitmandicatalyst.in, anand_giri@projects.iitmandi.ac.in, shrawan@ihubiitmandi.in, ramsinghmnd@gmail.com, accounts@iitmandicatalyst.in, shashwat@iitmandicatalyst.in, mndse-iitm@cpwd.gov.in, minni@iitmandicatalyst.in, jetender@iitmandicatalyst.in, anjna@ihubiitmandi.in, thakurdj78070@gmail.com, sarikasha1506@gmail.com, D22004@students.iitmandi.ac.in, finance@iitmandicatalyst.in, jatin_sharma@projects.iitmandi.ac.in, D21029@students.iitmandi.ac.in, abhishek@iitmandicatalyst.in, satvasheel@iitmandicatalyst.in, karamsingh.iitmandi@gmail.com, volga@ihubiitmandi.in, ajeetsinghthakur1987@gmail.com, D23139@students.iitmandi.ac.in, rahul@ihubiitmandi.in, registrar@iitmandi.ac.in, rajkumaruk1970@gmail.com, naveen@ihubiitmandi.in, prodipta@projects.iitmandi.ac.in, printi@ihubiitmandi.in, rajan.kapur@larankelo.com, D21093@students.iitmandi.ac.in, gaurav@ihubiitmandi.in, D23264@students.iitmandi.ac.in, pankaj.singta@adfactorspr.com, bhuri.iitmandi@gmail.com, pd@ihubiitmandi.in, catalystcaretaker@gmail.com"
Welwin Infotech India,https://in.linkedin.com/company/welwin-infotech-india-llp,hr@welwin.co.uk
ProweSolution Private Limited,Not found,No email found
The Wild tigers technologies,https://www.thewildtigers.com/career.html,"account@thewildtigers.com, hr@thewildtigers.com, info@thewildtigers.com"
Cactus Creatives Pvt. Ltd.,Not found,No email found
eSparkBiz Technologies Pvt Ltd,Not found,No email found
HexaScal Technologies,https://www.hexascal.com/career,"sales@hexascal.com, info@hexascal.com, hexascal@gmail.comCall"
Analog Cloudtech Pvt Ltd,https://analogcloudtech.com/,support@analogcloudtech.com
FeelTech Solutions Private Limited,Not found,No email found
VARNI INFOTECCH,https://varniinfotech.net/,support@varniinfotech.net
MCT IT SOLUTIONS PVT LTD,https://in.linkedin.com/company/mctit,mct@miraclecloud-technology.com
Cloudus infotech pvt. Ltd.,https://in.linkedin.com/company/cloudus-infotech,info@cloudusinfotech.com
cWiser Infotech,Not found,No email found
SADHRASYA SOFTTECH PRIVATE LIMITED,Not found,No email found
rjsquare,https://www.rjsquareinfotech.com/,info@rjsquareinfotech.com
Ample Infotech ,https://ampleinfotech.com/,info@ampleinfotech.com
Kpeworld media tech pvt ltd,https://www.kpeworld.com/,info@kpeworld.com
Param Software,https://www.paramsoftware.com/career,mail@paramsoftware.com
Tech Elecon Pvt. Ltd.,Not found,No email found
Asquarex,Not found,No email found
DRDO INDUSTRY ACADEMIA SARDAR VALLABH BHAI PATEL CENTRE OF EXCELLENCE,https://diasvpcoe.gujaratuniversity.ac.in/Home/contact,sc-diasvpcoe@gujaratuniversity.ac.in
Memento Tech,https://mementotech.in/contact.html,"hello@mementotech.in, sb.dodia@gmail.com, mementotechnologies@gmail.com"
Adept digital private limited ,Not found,No email found
Izonnet Web solutions ,http://www.izonnet.com/Contact-Us,info@izonnet.com
Shaural infotech ,https://www.shaural.com/career,"email@shaural.com, email@hotsoft.be, email@staunchsoftware.com, vinay@diamtrade.com"
Ladila Infotech,Not found,No email found
Secure Infotech ,https://www.securemetasys.com/career/,"hr@securemetasys.com, info@securemetasys.com"
Miracle TechnoLabs,https://miracletechnolabs.com/contact/,info@miracletechnolabs.com
Digiteon,https://digiteon.com/contact/,"career@digiteon.com, info@digiteon.com"
Binary Geckos,Not found,No email found
Mediaf5,https://mediaf5.com/contact-us/,info@mediaf5.com
Top Search,https://www.linkedin.com/posts/kshitijmishra27_hr-email-ids-of-top-500-indian-companies-activity-7253417893189615616-AvR1,"career@sarrthi.com, admin@tatti.in"
Dcoded Innovations LLP.,https://dcoded.in/,Usinfo@dcoded.inCall
BosLeo Technology Private Limited,https://in.linkedin.com/company/bosleollc,hr@bosleo.com
Skyward Techno Solutions Pvt Ltd,https://in.linkedin.com/company/skyward-techno-solutions-pvt-ltd-,info@skywardtechno.com
GN WEBSOFT PVT. LTD.,https://www.gnwebsoft.com/contact-us,info@gnwebsoft.com
Teksun,Not found,No email found
Clumoss,https://in.linkedin.com/company/clumoss,"services@clumoss.com., info@clumoss.com"
Digital Ipsum,https://in.linkedin.com/company/digitalipsumin,hr@digitalipsum.in
Softrica – IT Service,https://www.softrica.com/,"onum_company@mail.com, contact@softrica.com"
Collebra,https://collabera.com/contact-us/contact-us/,info@collabera.com
